icao24,callsign,origin_country,snapshot_time,snapshot_hour,latitude,longitude,baro_altitude,geo_altitude,velocity,true_track,vertical_rate,on_ground,squawk,manufacturername,model,typecode,built,owner,engines
4b1815,SWR7FW  ,Switzerland,2025-12-01 16:41:00.368803,2025-12-01-16,47.4516,8.5588,,2045,1.03,185.62,,True,False,Airbus,A320-271N,A20N,,,
39de4e,TVF61UE ,France,2025-12-01 16:41:00.368803,2025-12-01-16,41.9047,-4.4307,11902.44,7667,204.54,242.92,0.0,False,False,,,,,,
c07d0b,CGVJE   ,Canada,2025-12-01 16:41:00.368803,2025-12-01-16,45.6409,-74.3417,175.26,,27.86,265.76,-3.25,False,False,Cessna Aircraft Company,172N (Cessna),C172,,Danny Sirignano,
ab1644,UAL1478 ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,43.0973,-104.4012,8823.96,,239.04,153.55,0.0,False,False,Airbus Industrie,A319-131,A319,1998-01-01,United Airlines Inc,IAE V2500SERIES
4b1819,SWR7WA  ,Switzerland,2025-12-01 16:41:00.368803,2025-12-01-16,47.3561,8.4505,3147.06,1000,146.62,179.8,16.58,False,False,,,,,,
ac96b8,AAL2819 ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,41.9659,-87.7712,655.32,6204,86.94,269.66,-5.2,False,False,Boeing,737-823,B738,1999-01-01,American Airlines Inc,CFM INTL. CFM56 SERIES
aa3cbe,N759PA  ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,41.559,-112.1814,3558.54,4366,65.06,202.31,0.0,False,False,Diamond Aircraft Ind Inc,DA 40,DA40,2008-01-01,Utah State University,LYCOMING IO-360-M1A+
a46e70,LXJ385  ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,26.1761,-81.0137,3215.64,7374,156.5,133.14,-7.48,False,False,Embraer Executive Aircraft Inc,EMB-505,E55P,2021-01-01,University Of Notre Dame,P&W CANADA PW535E
aa56da,UAL2005 ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,26.6834,-80.1138,7.62,2662,76.76,93.07,-3.58,False,True,Boeing,737-824,B738,2010-01-01,United Airlines Inc,CFM INTL CFM56-7B26E
39de4a,TVF56RX ,France,2025-12-01 16:41:00.368803,2025-12-01-16,46.1291,7.5948,10972.8,1000,213.21,298.85,-0.33,False,False,,,,,,
39de4c,TVF44FX ,France,2025-12-01 16:41:00.368803,2025-12-01-16,49.9647,8.7395,11887.2,1000,241.32,88.9,0.0,False,False,,,,,,
88044d,AIQ120  ,Thailand,2025-12-01 16:41:00.368803,2025-12-01-16,15.4347,97.5155,9761.22,6120,247.09,296.46,-0.33,False,False,Airbus,A320 216,A320,,Thai Airasia,
39de57,TVF69KD ,France,2025-12-01 16:41:00.368803,2025-12-01-16,46.2051,5.8287,11879.58,1000,247.73,135.25,-0.33,False,False,,,,,,
abd9d9,SWA2106 ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,34.3356,-93.2013,10363.2,2370,167.95,247.68,0.0,False,True,Boeing,737-8H4,B738,2014-01-01,Southwest Airlines Co,CFM INTL CFM56-7B27E
ab6fdd,AAL1766 ,United States,2025-12-01 16:41:00.368803,2025-12-01-16,40.0867,-84.0992,11277.6,0563,266.31,44.06,0.0,False,False,Boeing,737-823,B738,2010-01-01,Wilmington Trust Co Trustee,CFM INTL CFM56-7B24/3
